day,start_time,end_time,title,presenter,affiliation,bio,location,track,type,paper_url,evaluation_url,description,menu_details,status
2,12:15,13:30,Networking Luncheon & Sponsor Exhibition,Catering Services,Summit Hospitality,,Main Dining Hall,General,break,,,"Enjoy a hot buffet lunch while exploring interactive demonstrations presented by summit edtech partners, publishing sponsors, and academic software developers.","Slow-braised beef brisket with rosemary jus, grilled vegetable lasagna with cashew bechamel, steamed jasmine rice, roasted butternut and beetroot salad with toasted pumpkin seeds, freshly baked artisanal flatbreads, and lemon passionfruit tarts. Refreshment stations with sparkling waters and herbal infusions.",active
2,13:30,15:00,"Panel: Diamond Open Access, Institutional Repositories & Academic Publishing Equity","Dr. Brenda Ndlovu, Prof. François Dubois & Dr. Sibusiso Radebe","Open Knowledge Foundation, Pan-African Open Science Platform & Global Scholar Guild","Dr. Brenda Ndlovu is Chief Library Officer at the Open Knowledge Foundation and Chair of the African Open Science Platform Working Group, with 22 years of experience in academic publishing policy and open-access funding models.

Prof. François Dubois is Dean of Library and Information Sciences at the Global Scholar Guild, author of 'The APC Crisis in the Global South', and former advisor to international open science coalitions.

Dr. Sibusiso Radebe is Director of Institutional Repositories at Meridian Horizon University, leading national initiatives on decentralized pre-print repositories and open peer-review infrastructure.",Grand Plenary Auditorium,Policy & Governance,panel,https://papers.conferencecorner.co.za/2026/panel-diamond-open-access.pdf,https://eval.conferencecorner.co.za/session/panel-203,"Exorbitant Article Processing Charges (APCs) demanded by legacy commercial scientific publishers have exacerbated systemic inequalities, locking developing institutions out of both publishing and accessing critical scientific scholarship. This high-level panel explores sustainable financial and infrastructural blueprints for Diamond Open Access—models where neither authors nor readers pay fees. Panelists dissect university-led journal publishing consortia, decentralized federated preprint repositories, transparent community-driven peer review systems, and sovereign institutional copyright retention strategies that safeguard scholarly output for universal public benefit.",,active
2,15:15,16:45,Research Session: Augmented Reality Spatial Sandboxes in Undergraduate Geosciences,Dr. Thabo Khumalo & Dr. Megan Foster,Beacon Institute of Earth Sciences & Apex Virtual Labs,"Dr. Thabo Khumalo is Associate Professor of Geoinformatics at the Beacon Institute of Earth Sciences. His research focuses on terrain visualization, hydrological simulation, and immersive geographic pedagogy.

Dr. Megan Foster is Lead Spatial XR Architect at Apex Virtual Labs, holding a Ph.D. in Computer Graphics and specializing in real-time fluid dynamic rendering on mobile GPU architectures.",Room 202 (Science Wing),Curriculum Design,session,https://papers.conferencecorner.co.za/2026/khumalo-foster-geoscience-xr.pdf,https://eval.conferencecorner.co.za/session/paper-204,"Teaching abstract spatial geological concepts—such as topographic contour mapping, subsurface aquifer dynamics, and tectonic fault kinematics—poses severe cognitive hurdles in conventional 2D textbook environments. This study evaluates the deployment of kinetic augmented reality projection sandboxes paired with mobile AR viewers across four undergraduate geology cohorts (N=380). Quantitative spatial aptitude testing before and after the 8-week intervention demonstrated a 44% improvement in 3D contour interpretation and an 88% surge in student self-reported engagement. The authors present open hardware specifications, calibration algorithms, and modular lesson plans available for immediate institutional adoption.",,active
3,09:00,10:30,Keynote: Work-Integrated Learning Ecosystems & Cooperative Industry-Academia Innovation,Dr. Robert Sterling & Ms. Claire Zhang,Global Innovation Council & Vanguard Industry Consortium,"Dr. Robert Sterling is Executive Director of the Global Innovation Council and former Dean of Engineering at the Vanguard Academy of Applied Sciences. A serial deep-tech founder holding 14 patents, he has spent 30 years engineering collaborative pipelines between university research divisions and corporate technology leaders.

Ms. Claire Zhang is Vice President of Strategic Talent Partnerships at the Vanguard Industry Consortium, managing work-integrated apprenticeship programs across 120 multinational technology and manufacturing enterprises.",Grand Plenary Auditorium,Workforce & Industry,keynote,https://papers.conferencecorner.co.za/2026/sterling-zhang-work-integrated-learning.pdf,https://eval.conferencecorner.co.za/session/keynote-day3,"The exponential acceleration of industrial automation, clean energy transition, and artificial intelligence necessitates unprecedented synchronization between academic university curricula and real-world industrial demand. Dr. Sterling and Ms. Zhang delineate operational models for embedding live industry project sandboxes, co-op credit structures, and dual-mentorship apprenticeships into standard three- and four-year degree programs. Backed by five-year longitudinal graduate tracking data across 6,000 students in engineering, data science, and biotechnology, the presentation demonstrates that students participating in integrated industry ecosystems experienced 74% higher initial placement rates, commanded 28% higher starting salaries, and accelerated patent output threefold during their postgraduate studies.",,active
3,10:45,12:15,Paper Presentations: Integrating Quantum Computing Algorithms into Undergraduate CS Curricula,"Dr. Maya Lin, Dr. Jonas Schmidt & Prof. Aris Thorne","Apex Quantum Institute, Global Horizon Science Network & Beacon State University","Dr. Maya Lin is Senior Quantum Research Scientist at the Apex Quantum Institute and Adjunct Professor of Computer Science at Beacon State University, author of 'Introductory Quantum Circuits with Python'.

Dr. Jonas Schmidt leads Quantum Outreach at the Global Horizon Science Network, coordinating access to cloud superconducting quantum processing units for educational consortia.

Prof. Aris Thorne is Head of Theoretical Computer Science at Beacon State University, specializing in quantum error mitigation and algorithmic complexity theory.",Hall B (East Wing),AI & Future Tech,session,https://papers.conferencecorner.co.za/2026/lin-schmidt-quantum-curricula.pdf,https://eval.conferencecorner.co.za/session/paper-301,"Quantum information science is transitioning rapidly from specialized theoretical physics research into practical software engineering and cybersecurity paradigms. However, the vast majority of undergraduate computer science programs lack introductory quantum programming pathways accessible without graduate-level linear algebra and quantum mechanics prerequisites. This paper outlines a modular semester curriculum that introduces quantum superposition, entanglement, Grover's search, and Shor's algorithm using interactive visual quantum circuit simulators and cloud-based 5-qubit quantum processors via Python Qiskit and Cirq. Multi-institutional student project assessments, coding rubrics, and diagnostic surveys illustrate that students gained intuitive mastery of quantum principles without suffering mathematical attrition.",,active
3,10:45,12:15,Interactive Workshop: Gamification Mechanics & Quest-Based Learning in Large-Enrollment Classes,Prof. Isabella Rossi & Dr. Lucas Romero,Center for Pedagogical Innovation & Crestview Academic Network,"Prof. Isabella Rossi is Director of the Center for Pedagogical Innovation and Professor of Cognitive Psychology at the Crestview Academic Network. Recipient of the National Teaching Excellence Medallion, her research examines intrinsic motivation and ludic learning frameworks.

Dr. Lucas Romero is Senior Instructional Game Designer at the EduPlay Institute and lead developer of the OpenQuest modular learning platform utilized in over 40 university lecture halls.",Innovation Studio 1,Curriculum Design,workshop,https://papers.conferencecorner.co.za/2026/rossi-romero-gamification-handbook.pdf,https://eval.conferencecorner.co.za/session/workshop-302,"Sustaining engagement in large lecture halls exceeding 400 students is one of the most stubborn instructional dilemmas in modern tertiary education. This interactive design workshop introduces faculty and instructional designers to the core tenets of game-informed pedagogy: quest-based assignment branching, low-stakes peer challenge leaderboards, real-time interactive audience polling with dynamic narrative divergence, and digital mastery badges. In structured sprint exercises, attendees will convert a standard passive 50-minute lecture syllabus into an active, gamified learning journey that maximizes student retention while maintaining stringent academic rigor.",,active
3,12:15,13:30,Networking Luncheon & Special Interest Groups (SIGs),Catering Team,Summit Hospitality,,Dining Hall & Foyer,General,break,,,"Join designated Special Interest Group (SIG) tables during lunch to discuss collaborative research grant applications, curriculum co-design, and international exchange opportunities.","Mediterranean roasted lamb with tzatziki and herb couscous, roasted butternut squash and feta quiche, grilled zucchini and bell pepper skewers with chimichurri, Greek salad with kalamata olives, rosemary focaccia, and traditional baklava squares. Fresh espresso and artisan rooibos tea bar.",active
3,13:30,15:00,"Parallel Session: Cyber-Physical Campus Security, Threat Modeling & Incident Response",Eng. Tariq Al-Hassan & Dr. Marcus Thorne,Horizon Polytechnic & Sentinel Labs,"Eng. Tariq Al-Hassan is Chief Systems Engineer at Horizon Polytechnic, managing enterprise infrastructure security for 45,000 connected campus devices.

Dr. Marcus Thorne is Director of Cyber Defense at Sentinel Labs and a certified Information Systems Security Professional (CISSP) with 20 years in university ransomware defense and forensic threat mitigation.",Hall A (West Wing),Policy & Governance,session,https://papers.conferencecorner.co.za/2026/alhassan-thorne-cybersecurity-campuses.pdf,https://eval.conferencecorner.co.za/session/paper-303,"Academic institutions have become premier targets for state-sponsored and criminal ransomware syndicates due to open network topologies, decentralized faculty servers, and high-value intellectual property. This session provides an exhaustive operational post-mortem of modern cyber threats targeting universities. The presenters detail threat modeling protocols, zero-trust network segmentation strategies for campus IoT, automated behavioral anomaly detection for research databases, and step-by-step incident response playbooks that isolate compromised network segments within seconds without disrupting active instructional systems.",,active
3,15:15,16:45,Summit Gala Dinner & International Excellence Awards,Summit Steering Committee & Honored Guests,Global Higher Ed Summit Board,"The Summit Steering Committee is composed of distinguished vice-chancellors, deans, and research fellows dedicated to advancing international excellence, pedagogical innovation, and equitable education worldwide.",Grand Ballroom & Terraces,General,general,,https://eval.conferencecorner.co.za/session/gala-awards,"An elegant evening celebrating outstanding contributions to global higher education, pedagogical innovation, and interdisciplinary research. Featuring formal dinner service, live cultural musical performances, the presentation of the 2026 Distinguished Educator Medals, and the announcement of the host institution for the 2027 World Summit.","Plated four-course banquet: Smoked salmon and avocado tartare with micro-herbs; slow-braised Karoo lamb shank on truffle mashed potato with glazed baby root vegetables (or wild forest mushroom and truffle risotto); artisan cheese board with fig preserve and water biscuits; Belgian dark chocolate fondant with Madagascar vanilla bean gelato. Selection of premium South African estate wines, craft mocktails, and digestifs.",active
4,09:00,10:30,Closing Keynote: The Decennial Higher Education Horizon: 2026–2036,"Prof. Alexander Vance, Dr. Fatima Al-Mansoor & Dr. Brenda Ndlovu","Apex Institute, Global Eco-Tech & Open Knowledge Foundation","Prof. Alexander Vance (Endowed Chair of Cognitive Systems, Apex Institute), Dr. Fatima Al-Mansoor (VP of Campus Infrastructure, Global Eco-Tech), and Dr. Brenda Ndlovu (Chief Library Officer, Open Knowledge Foundation) synthesize four days of international research into a definitive 10-year strategic roadmap for university leaders.",Grand Plenary Auditorium,AI & Future Tech,keynote,https://papers.conferencecorner.co.za/2026/horizon-report-2026-2036.pdf,https://eval.conferencecorner.co.za/session/closing-keynote,"In this culminating closing keynote, the summit co-chairs synthesize the technological, pedagogical, legal, and infrastructural breakthroughs presented throughout the conference into a high-level strategic roadmap for higher education over the coming decade (2026–2036). The address presents pragmatic forecasts on the convergence of sovereign AI models, decentralized credential verification, climate-resilient physical plants, and open-access scholarship networks. University executives and academic leaders will receive a concrete executive action matrix for modernizing institutional strategy, securing faculty buy-in, and ensuring long-term institutional vitality in an era of rapid technological disruption.",,active
4,10:45,12:00,"Grand Closing Ceremony, Best Paper Accolades & Valedictory Address",Summit Co-Chairs & Executive Committee,Global Higher Ed Summit Board,"Summit Co-Chairs: Prof. Alexander Vance, Dr. Fatima Al-Mansoor, Dr. Sarah Jenkins, and Dr. Kenji Sato.",Grand Plenary Auditorium,General,general,,https://eval.conferencecorner.co.za/session/overall-summit-feedback,"The official concluding ceremony of the 2026 Annual Summit. Highlights include the presentation of the Best Academic Research Paper Award ($5,000 honorarium), the Best Student Innovation Award, the Outstanding Workshop Facilitator Distinction, final valedictory remarks, and the formal handover to the 2027 Organizing Committee.","Farewell champagne and sparkling cider toast, accompanied by savory canapés, petit fours, and artisanal coffee service in the Grand Foyer.",active
