day,type,start_time,end_time,title,presenter,affiliation,location,track,description,paper_url,evaluation_url,status,display_order
2,session,14:45,15:30,Data-Driven Teaching: Using LMS Analytics to Support Students at Risk,Mr. Kelvin Pietersen,UNISA,Room 2B,Technology & Innovation,A practical guide to setting up early warning dashboards in Moodle and Blackboard. Real case data shows how intervention timing affects throughput rates.,,,active,28
3,keynote,09:00,10:00,Engaged Scholarship: When the University Goes to the Community,Prof. Thandi Mthembu,University of KwaZulu-Natal,Main Hall,Plenary,The third-day keynote challenges the traditional extractive model of academic research in favour of long-term community partnership. A deeply personal and evidence-rich address.,,,active,29
3,break,10:00,10:30,Morning Tea,,,,Administration,Refreshments and networking.,,,active,30
3,session,10:30,11:15,Mentoring Junior Academics: Structural Support vs Individual Goodwill,Dr. Lungelo Hadebe,University of Pretoria,Room 1A,Learning & Teaching,"A critical look at formal mentoring programmes. What makes them succeed? The presenter shares a mixed-methods study spanning 6 faculties and 3 years, with actionable recommendations.",,,active,31
3,session,10:30,11:15,Learning Management Systems Compared: Moodle vs Blackboard vs Canvas,Ms. Nomsa Chauke,Cape Town College,Room 2B,Technology & Innovation,"A head-to-head comparison of the three most common LMS platforms used in South African institutions. Focus on accessibility, mobile experience, analytics capability and cost.",,,active,32
3,session,10:30,11:15,Measuring Research Impact Beyond Citation Counts,Dr. Thandeka Cele,University of Zululand,Room 3C,Research & Engagement,"Altmetrics, societal impact frameworks, and community knowledge transfer. How should African academics measure contribution in a global ranking system built for Western institutions?",,,active,33
3,workshop,11:30,12:15,Teaching Large Classes: Strategies That Actually Work,Prof. Miriam Jacobs,Stellenbosch University,Room 1A,Learning & Teaching,"Practical techniques for maintaining engagement and quality in classes of 500+ students. Includes polling tools, structured peer discussion, and assessment design. Bring your laptop.",,,active,34
3,session,11:30,12:15,Building Inclusive Online Video Content: Captioning and More,Mr. Luyanda Mfeka,Durban University of Technology,Room 2B,Technology & Innovation,"A step-by-step workshop on producing accessible lecture videos. Topics include auto-captioning accuracy, audio description, and low-bandwidth alternatives for rural students.",,,active,35
3,break,12:15,13:30,Lunch & Poster Judging,,,,Administration,Lunch in the main dining hall. Poster prize announcement at 13:15.,,,active,36
3,panel,13:30,14:30,Internationalisation of the Curriculum: Global Perspectives Without Losing Local Relevance,Various Panelists,Multiple Institutions,Main Hall,Plenary,Four academic leaders discuss integrating global case studies and international partnerships while ensuring content remains meaningful for South African students and communities.,,,active,37
3,session,14:45,15:30,Student Mental Health and Academic Performance: What Faculty Can Do,Dr. Yvonne Steyn,University of Cape Town,Room 1A,Learning & Teaching,"Drawing on counselling data from 2021-2024 and faculty interviews, this session provides concrete classroom adjustments that reduce student anxiety without compromising standards.",,/eval/115,active,38
3,session,14:45,15:30,Open Educational Resources: Building a Departmental OER Strategy,Prof. Andile Mfeka,Walter Sisulu University,Room 2B,Technology & Innovation,Why OER matters for African higher education equity and how to build a departmental strategy from scratch. Includes platform recommendations and copyright guidance.,,,active,39
4,keynote,09:00,10:00,Closing Keynote: What Does a Transformed University Actually Look Like?,Prof. Sithembile Mbete,University of Pretoria,Main Hall,Plenary,"A visionary and challenging closing address drawing together themes from the conference - equity, technology, community, and assessment - into a coherent vision for transformation.",,,active,40
4,break,10:00,10:30,Morning Tea,,,,Administration,Final networking opportunity.,,,active,41
4,session,10:30,11:15,Portfolios as Assessment: Moving from Products to Processes,Dr. Carla Swanepoel,University of Johannesburg,Room 1A,Learning & Teaching,A practical guide to implementing e-portfolios across a faculty. The presenter shares technical setup on Mahara and the assessment rubrics developed with student input.,,/eval/117,active,42
4,session,10:30,11:15,Artificial Intelligence Policy in Higher Education: Where Are We Now?,Dr. Kamohelo Nthomeng,DHET,Room 2B,Technology & Innovation,A policy landscape review of how South African and global institutions are responding to generative AI. Includes analysis of 22 published AI policies with common themes.,,,active,43
4,session,10:30,11:15,Participatory Action Research with Students: A Methodological Guide,Prof. Ronke Olawale,University of Johannesburg,Room 3C,Research & Engagement,Students as co-researchers rather than subjects. This session outlines a PAR methodology adapted for South African undergraduate contexts and shares three completed studies.,,,active,44
4,workshop,11:30,12:15,Designing Hybrid Assessment That Works for Both Cohorts,Dr. Bianca van Rooyen,Rhodes University,Room 1A,Learning & Teaching,Practical frameworks for designing assessments that are equally fair and rigorous whether submitted digitally or in-person. Focus on equivalence without doubling workload.,,,active,45
4,session,11:30,12:15,From Pilot to Scale: Technology Adoption Lessons from the Classroom,Ms. Aisha Jacobs,Cape Peninsula University of Technology,Room 2B,Technology & Innovation,What separates successful edtech pilots from those that never move beyond the enthusiast classroom? A framework for sustainable technology adoption in resource-constrained institutions.,,,active,46
4,break,12:15,13:00,Closing Lunch,,,,Administration,Final conference lunch with prize ceremony for best paper and best poster.,,,active,47
4,general,13:00,13:30,Awards Ceremony & Closing Remarks,Conference Committee,,Main Hall,Plenary,Presentation of the Best Paper Award and Best Poster Award followed by closing remarks and announcement of next year conference.,,,active,48
